,area,beds,n_baths,price
0,3259.0,4.0,5.5,2995000
1,2519.0,2.0,3.5,1180000
2,691.0,1.0,1.5,419999
3,3087.0,4.0,4.5,3199000
4,3588.0,4.0,4.5,3298000
5,4097.0,4.0,5.5,3295000
6,2041.0,3.0,2.5,4850000
7,1980.0,3.0,2.5,1875000
8,2972.0,4.0,5.5,5699000
9,5410.0,4.0,4.5,4800000
10,1793.0,3.0,2.5,1248000
11,3255.0,4.0,3.5,2395000
12,6000.0,7.0,5.5,16980000
13,631.0,1.0,1.5,500000
14,764.0,1.0,1.5,445000
15,3116.0,4.0,4.5,3500000
16,1464.0,2.0,2.5,849000
17,1673.0,3.0,3.5,1795000
18,2609.0,5.0,3.5,2594000
19,2000.0,4.0,3.5,2495000
20,1017.0,2.0,2.5,684995
21,920.0,2.0,2.5,750000
22,5233.0,6.0,5.5,2695000
23,3078.0,4.0,4.5,3500000
24,8927.0,6.0,9.5,12500000
25,3406.0,3.0,4.5,4495000
26,3143.0,3.0,4.5,3749000
27,6549.0,6.0,8.5,7995000
28,4457.0,6.0,8.5,7995000
29,8228.0,8.0,10.5,8875000
30,2106.0,3.0,3.5,1949000
31,2465.0,3.0,3.5,1495000
32,2075.0,3.0,3.5,3330000
33,1140.0,2.0,3.5,605000
34,2005.0,3.0,4.5,1725000
35,4750.0,4.0,5.5,6998000
36,5298.0,4.0,5.5,4268000
37,2230.0,2.0,3.5,2760000
38,7142.0,6.0,8.5,4300000
39,3276.0,4.0,4.5,2990000
40,9200.0,6.0,7.5,12795000
41,3188.0,4.0,5.5,9800000
42,3188.0,4.0,5.5,15900000
43,1648.0,2.0,2.5,1395000
44,3480.0,4.0,4.5,3195000
45,691.0,1.0,1.5,439000
47,5000.0,6.0,5.5,4600000
48,2766.0,4.0,3.5,7800000
49,6675.0,5.0,8.5,5385000
50,5080.0,5.0,5.5,3300000
51,4614.0,5.0,5.5,3675000
52,2488.0,5.0,5.5,2295000
53,2292.0,4.0,3.5,2400000
54,1646.0,2.0,2.5,1289000
55,691.0,1.0,1.5,429000
56,2528.0,4.0,4.5,3795000
57,4293.0,5.0,5.5,4998000
58,6528.0,6.0,7.5,4995000
59,2610.0,4.0,3.5,2695000
60,2286.0,3.0,3.5,2695000
61,4107.0,5.0,6.5,4295000
62,3542.0,8.0,4.5,2100000
63,7792.0,8.0,9.5,12995000
64,8236.0,6.0,5.5,6995000
66,8078.0,7.0,10.5,17900000
67,8878.0,5.0,8.5,25000000
68,3670.0,4.0,5.5,3385000
69,3250.0,4.0,6.5,1850000
70,1997.0,3.0,2.5,2399000
71,5789.0,5.0,4.5,6980000
72,2061.0,3.0,2.5,1475000
73,8300.0,7.0,7.5,6595000
74,1899.0,4.0,3.5,1779000
75,8694.0,5.0,9.5,12000000
76,3299.0,7.0,8.5,4950000
77,2624.0,3.0,4.5,4995000
78,2601.0,4.0,3.5,1495000
79,691.0,1.0,1.5,429000
80,2608.0,3.0,3.5,3200000
81,3700.0,4.0,4.5,3950000
82,3154.0,4.0,5.5,1549000
83,5139.0,4.0,5.5,13595000
84,3413.0,5.0,4.5,2295000
85,1993.0,3.0,2.5,2179000
86,1941.0,3.0,2.5,1895000
87,1950.0,2.0,2.5,2495000
88,1799.0,2.0,2.5,2150000
89,991.0,1.0,2.5,1575000
90,3225.0,4.0,4.5,2595000
91,5687.0,5.0,6.5,3695000
92,6727.0,5.0,8.5,5395000
93,8331.0,6.0,7.5,7499000
94,2444.0,3.0,2.5,4975000
95,6243.0,3.0,2.5,1799000
96,6948.0,6.0,10.5,7395000
97,1326.0,4.0,3.5,2200000
98,5595.0,5.0,6.5,6595000
99,3581.0,7.0,7.5,3795000
100,2596.0,3.0,4.5,4500000
101,2076.0,4.0,5.5,1798000
102,874.0,1.0,1.5,498000
103,1676.0,2.0,2.5,2199000
104,1089.0,2.0,2.5,715000
105,1682.0,2.0,3.5,4995000
106,4792.0,4.0,4.5,3950000
107,5060.0,5.0,6.5,7750000
108,2975.0,3.0,3.5,2440000
109,1806.0,2.0,2.5,1590000
110,504.0,1.0,1.5,369000
111,2360.0,5.0,5.5,3725000
112,1800.0,3.0,2.5,3588888
114,3575.0,5.0,5.5,3778000
115,3500.0,6.0,5.5,3388000
116,2500.0,3.0,3.5,2995000
117,6338.0,4.0,8.5,14900000
118,2925.0,3.0,4.5,2265000
119,3683.0,5.0,5.5,2878000
120,2973.0,5.0,3.5,2790000
121,1754.0,2.0,3.5,4295000
122,9000.0,6.0,9.5,22000000
123,2626.0,4.0,3.5,3220000
124,4378.0,5.0,6.5,3400000
126,1010.0,2.0,2.5,1395000
127,7460.0,4.0,5.5,7250000
128,4900.0,4.0,5.5,9995000
129,4910.0,5.0,5.5,2874000
130,5477.0,5.0,6.5,4480000
131,6246.0,5.0,7.5,5500000
132,1957.0,4.0,2.5,3995000
133,2862.0,5.0,4.5,3999000
134,10285.0,6.0,10.5,17950000
135,2680.0,4.0,4.5,2890000
136,1280.0,3.0,2.5,2350000
137,5790.0,6.0,7.5,4690000
138,6276.0,6.0,9.5,6995000
139,1861.0,4.0,4.5,2095000
140,2185.0,3.0,3.5,2295000
141,6000.0,7.0,5.5,16988000
142,1017.0,2.0,2.5,684000
143,1793.0,3.0,2.5,1248000
144,8228.0,8.0,9.5,8875000
145,2465.0,3.0,3.5,1495000
146,631.0,1.0,1.5,480000
147,764.0,1.0,1.5,445000
148,8927.0,6.0,6.5,12500000
149,2519.0,2.0,3.5,1180000
150,2716.0,5.0,3.5,1699000
151,1464.0,2.0,2.5,799000
152,5080.0,5.0,5.5,3300000
153,1043.0,1.0,1.5,350000
154,5233.0,6.0,5.5,2690000
155,4750.0,4.0,5.5,6998000
156,1707.0,3.0,3.5,799000
157,691.0,1.0,1.5,419000
158,713.0,1.0,1.5,499900
159,3078.0,4.0,4.5,3500000
160,2075.0,3.0,3.5,3330000
161,2000.0,3.0,3.5,2495000
162,3143.0,3.0,4.5,3749000
163,3406.0,3.0,4.5,4495000
164,3116.0,4.0,4.5,3500000
165,2031.0,3.0,3.5,2100000
166,3180.0,2.0,1.5,2295000
167,3255.0,4.0,3.5,2395000
168,2041.0,3.0,2.5,4850000
169,2100.0,4.0,3.5,2250000
170,4097.0,4.0,5.5,3295000
171,1980.0,3.0,2.5,1875000
172,2972.0,4.0,5.5,5699000
173,3259.0,4.0,5.5,2995000
174,2609.0,4.0,3.5,2695000
175,3660.0,6.0,5.5,2897000
176,3588.0,4.0,4.5,3298000
177,2613.0,6.0,5.5,2850000
178,5410.0,4.0,4.5,4800000
179,3087.0,4.0,4.5,3199000
180,691.0,1.0,1.5,439000
181,1776.0,3.0,2.5,1150000
183,2469.0,3.0,3.5,1389000
184,1332.0,2.0,3.5,657000
185,2560.0,3.0,3.5,1545000
186,9200.0,5.0,7.5,12795000
187,2300.0,3.0,3.5,1398000
188,1111.0,2.0,2.5,750000
189,1054.0,2.0,2.5,879000
190,1646.0,2.0,2.5,1289000
191,3188.0,4.0,5.5,9800000
192,1648.0,2.0,2.5,1398000
193,2230.0,2.0,3.5,2650000
194,2100.0,3.0,4.5,1899000
195,2766.0,3.0,3.5,7800000
196,1200.0,2.0,2.5,789000
197,1215.0,2.0,2.5,1565000
198,7142.0,6.0,8.5,4300000
199,1673.0,2.0,3.5,1795000
200,2601.0,4.0,3.5,1489000
201,2106.0,3.0,3.5,1949000
202,2005.0,3.0,4.5,1725000
203,8236.0,6.0,5.5,6995000
204,2286.0,3.0,3.5,2950000
205,7792.0,6.0,7.5,12995000
206,5000.0,5.0,5.5,4600000
207,6666.0,6.0,8.5,4995000
208,3175.0,4.0,4.5,2295000
209,2292.0,3.0,3.5,2400000
210,6582.0,6.0,7.5,4995000
211,3096.0,4.0,4.5,2750000
212,5298.0,4.0,5.5,4268000
213,3791.0,4.0,5.5,2795000
214,3480.0,4.0,4.5,3195000
215,6675.0,5.0,8.5,5385000
216,2610.0,4.0,3.5,2695000
217,4107.0,5.0,6.5,4295000
218,2528.0,4.0,4.5,3795000
219,3244.0,5.0,6.5,3350000
220,3276.0,4.0,4.5,2990000
221,2733.0,3.0,3.5,2298000
222,2565.0,4.0,4.5,2650000
223,691.0,1.0,1.5,429000
224,1668.0,3.0,3.5,895000
225,1153.0,2.0,2.5,399000
226,2061.0,2.0,2.5,1475000
227,1615.0,2.0,3.5,1350000
228,1656.0,3.0,3.5,900000
229,2566.0,3.0,3.5,1379000
230,1416.0,3.0,3.5,749000
231,1153.0,2.0,2.5,585000
232,832.0,2.0,1.5,549000
233,1286.0,2.0,2.5,759000
234,691.0,1.0,1.5,429000
235,1761.0,3.0,2.5,959000
236,5139.0,4.0,5.5,13595000
237,8878.0,5.0,6.5,25000000
238,1097.0,2.0,2.5,590000
239,3154.0,4.0,4.5,1549000
240,1093.0,1.0,1.5,450000
242,2601.0,4.0,2.5,1495000
243,2608.0,3.0,3.5,3200000
244,1799.0,2.0,2.5,2150000
245,2431.0,3.0,2.5,1650000
246,1719.0,3.0,2.5,750000
247,1775.0,3.0,3.5,2050000
248,991.0,1.0,1.5,1575000
249,3413.0,4.0,3.5,2295000
250,4614.0,5.0,4.5,3675000
251,1755.0,2.0,2.5,2199000
252,8078.0,7.0,8.5,17900000
253,5789.0,4.0,3.5,6980000
254,8694.0,5.0,7.5,12000000
255,2680.0,3.0,2.5,2899000
256,2624.0,3.0,3.5,4996000
257,3700.0,4.0,3.5,3950000
258,8300.0,6.0,6.5,6595000
259,4448.0,5.0,6.5,5295000
260,1997.0,3.0,2.5,2399000
261,4299.0,6.0,6.5,4950000
262,3250.0,4.0,5.5,1850000
263,4915.0,5.0,5.5,6000000
264,3670.0,4.0,4.5,3385000
265,2971.0,4.0,4.5,3099000
266,764.0,1.0,1.5,449000
267,1806.0,2.0,2.5,1590000
268,1026.0,2.0,2.5,785000
269,920.0,2.0,2.5,750000
270,874.0,1.0,1.5,498000
271,506.0,1.0,1.5,370000
272,1899.0,4.0,2.5,1779000
273,1053.0,2.0,1.5,595000
274,1403.0,1.0,1.5,1695000
275,713.0,1.0,1.5,499000
276,2076.0,4.0,4.5,1798000
277,1342.0,2.0,2.5,1195000
278,1941.0,2.0,2.5,1895000
279,1682.0,2.0,2.5,4995000
280,1596.0,3.0,3.5,1899000
281,1326.0,4.0,3.5,2200000
282,504.0,1.0,1.5,369000
283,1993.0,3.0,2.5,2179000
284,2975.0,3.0,3.5,2440000
286,6338.0,4.0,5.5,14900000
287,5687.0,5.0,5.5,3695000
288,5060.0,4.0,6.5,7750000
289,2596.0,3.0,4.5,4500000
290,1800.0,3.0,2.5,3588888
291,1950.0,2.0,2.5,2495000
292,2500.0,3.0,3.5,2995000
293,4293.0,5.0,4.5,4988000
294,4792.0,4.0,4.5,3950000
295,1676.0,2.0,2.5,2199000
296,2444.0,3.0,2.5,4975000
297,6727.0,5.0,5.5,5395000
298,3500.0,6.0,5.5,3388000
299,5734.0,5.0,5.5,4595000
300,6948.0,5.0,7.5,7395000
301,5095.0,5.0,4.5,6895000
302,3581.0,7.0,6.5,3795000
303,8331.0,6.0,6.5,7499000
304,3417.0,5.0,3.5,3198000
305,2036.0,2.0,3.5,2695000
306,3225.0,3.0,3.5,2595000
307,3009.0,4.0,4.5,3199000
308,1344.0,2.0,2.5,744000
309,10300.0,7.0,7.5,25988000
310,3999.0,4.0,4.5,1650000
311,10285.0,6.0,6.5,17950000
312,1102.0,2.0,2.5,749000
313,1412.0,2.0,2.5,975000
314,1140.0,2.0,2.5,605000
315,984.0,2.0,2.5,779000
316,1118.0,2.0,2.5,430000
317,2142.0,5.0,3.5,1399000
318,9000.0,5.0,6.5,22000000
319,1153.0,2.0,2.5,389000
320,1089.0,2.0,2.5,715000
321,2601.0,4.0,2.5,1195000
322,1010.0,2.0,2.5,1395000
323,1374.0,2.0,2.5,1195000
324,4910.0,4.0,4.5,2874000
325,1754.0,2.0,3.5,4295000
326,2750.0,5.0,3.5,1650000
327,715.0,1.0,1.5,435000
328,820.0,2.0,1.5,2250000
329,2925.0,3.0,3.5,2265000
330,3542.0,5.0,3.5,2100000
331,1957.0,3.0,2.5,3995000
332,2163.0,2.0,2.5,1850000
333,3860.0,5.0,4.5,2095000
334,2061.0,3.0,2.5,2395000
335,2840.0,6.0,4.5,1895000
336,4378.0,5.0,5.5,3400000
337,3557.0,3.0,3.5,3195000
338,2860.0,5.0,3.5,3995000
339,4900.0,3.0,4.5,9995000
340,6246.0,5.0,5.5,5500000
341,2973.0,5.0,3.5,2790000
342,5477.0,5.0,5.5,4480000
343,7460.0,4.0,5.5,7250000
344,4897.0,5.0,3.5,3398000
345,2626.0,3.0,3.5,3220000
346,2760.0,4.0,2.5,2395000
347,2571.0,4.0,3.5,2625000
348,3683.0,5.0,4.5,2888000
349,3575.0,5.0,4.5,3778000
350,5131.0,6.0,4.5,4299000
351,1860.0,3.0,2.5,1299000
352,723.0,2.0,1.5,854300
353,1500.0,3.0,2.5,695000
354,1407.0,3.0,2.5,1499000
355,1650.0,3.0,2.5,1550000
356,1458.0,3.0,2.5,769000
357,6276.0,5.0,5.5,6995000
358,6192.0,4.0,6.5,4100000
359,3052.0,4.0,3.5,1498000
360,8500.0,4.0,3.5,13950000
361,1280.0,3.0,2.5,2350000
362,1719.0,4.0,3.5,750000
363,1719.0,2.0,3.5,745000
364,1439.0,2.0,2.5,1599000
365,3202.0,3.0,3.5,1875000
366,5800.0,7.0,6.5,4195000
367,2680.0,4.0,4.5,2600000
368,691.0,1.0,1.5,439000
369,5790.0,6.0,6.5,4690000
370,5534.0,5.0,5.5,7995000
371,4411.0,5.0,5.5,4299000
372,5378.0,6.0,5.5,4580000
